foodid	foodname	description	yelpid	price	rating	total	restname
1	â€œcholoâ€ù corn cob	garlic mojo mayo | cotija cheese | cayenne	the-painted-burro-somerville	6	5	1	The Painted Burro
2	dos empanadas	spiced beef | chipotle & spinach | oven dried onion dip	the-painted-burro-somerville	8	4	1	The Painted Burro
3	mango guacomole	avocados | serrano chile | cilantro | lime & red onion	the-painted-burro-somerville	10	3	1	The Painted Burro
4	skillet roasted shrimp al ajillo	garlic | chipotle butter | stone ground grits	the-painted-burro-somerville	12	2	1	The Painted Burro
5	chicharrÃ_n & mango	crispy pork belly | serrano chile & tamarind glaze | frisÃ©e salad	the-painted-burro-somerville	7	1	1	The Painted Burro
6	duck quesadilla	roasted fig | apricot & cranberry salsa | duck confit | tres quesos | mexican crema	the-painted-burro-somerville	12	5	1	The Painted Burro
7	â€œel mero meroâ€ù guacomole	avocados | cilantro | salt | lime & white onion	the-painted-burro-somerville	9	4	1	The Painted Burro
8	chalupas	corn masa griddle cakes | crispy apples | goat cheese | roasted jalapeÃ±o agave nectar	the-painted-burro-somerville	12	3	1	The Painted Burro
9	pumpkin fundido	warm tres quesos dip | roasted squash & sugar pumpkin purÃ©e | spiced pepitas & soft corn tortillas	the-painted-burro-somerville	12	2	1	The Painted Burro
10	kale salad	jicama | carrots | cheesy whole grain mustard dressing | toasted corn nut crumble	the-painted-burro-somerville	11	1	1	The Painted Burro
11	goat cheese & beet salad	orange & cilantro vinaigrette | mizuna | fresh avocado	the-painted-burro-somerville	12	5	1	The Painted Burro
12	burro â€œcaesarâ€ù salad	avocado dressing | tomatillo & agave vinaigrette | queso viejo | anchovy | spiced pepitas	the-painted-burro-somerville	9	4	1	The Painted Burro
13	heirloom squash & apple enchilladas	roasted blue hubbard | kuri & pumpkin | macomber turnip | garlicky swiss chard | apple & poblano mole | tres quesos	the-painted-burro-somerville	17	3	1	The Painted Burro
14	pork carnitas y dos salsas enchilladas	ed wine & cola mole | tomatillo & cilantro bechamela | tres quesos	the-painted-burro-somerville	19	2	1	The Painted Burro
15	duck carnitas enchillas	zucchini | tres quesos | refried black beans | yellow mole	the-painted-burro-somerville	20	1	1	The Painted Burro
16	roasted achiote chicken enchilladas	smoked chile & roasted tomato salsa | tres quesos | cherry tomato salad	the-painted-burro-somerville	18	5	1	The Painted Burro
17	street cart chicken	1/2 roaster | achiote-citrus marinade | kale & fried plantain | creamy poblano rice | tamarind butter	the-painted-burro-somerville	18	4	1	The Painted Burro
18	grilled swordfish	coconut & cilantro rice | jumbo lump crab | mango & papaya salad	the-painted-burro-somerville	22	3	1	The Painted Burro
19	short rib barbacoa	roasted autumn carrots | charred onions | kale | creamy oaxacan grits | red wine mole | cotija	the-painted-burro-somerville	24	2	1	The Painted Burro
20	grilled pork chop	sweet corn polenta | rainbow chard | roasted peach & serrano salsa	the-painted-burro-somerville	19	1	1	The Painted Burro
21	pork barbacoa torta	cider braised pork | guajillo mole | tres queso | roasted apples | mizuna	the-painted-burro-somerville	13	5	1	The Painted Burro
