FoodID,FoodName,Description,YelpID,Price,Rating,Total
2,dos empanadas,spiced beef | chipotle & spinach | oven dried onion dip,the-painted-burro-somerville,8,5,1
3,mango guacomole,avocados | serrano chile | cilantro | lime & red onion,the-painted-burro-somerville,10,4,1
4,skillet roasted shrimp al ajillo,garlic | chipotle butter | stone ground grits,the-painted-burro-somerville,12,3,1
6,duck quesadilla,roasted fig | apricot & cranberry salsa | duck confit | tres quesos | mexican crema,the-painted-burro-somerville,12,5,1
8,chalupas,corn masa griddle cakes | crispy apples | goat cheese | roasted jalape‹±o agave nectar,the-painted-burro-somerville,12,1,1
9,pumpkin fundido,warm tres quesos dip | roasted squash & sugar pumpkin pur‹©e | spiced pepitas & soft corn tortillas,the-painted-burro-somerville,12,5,1
10,kale salad,jicama | carrots | cheesy whole grain mustard dressing | toasted corn nut crumble,the-painted-burro-somerville,11,4,1
11,goat cheese & beet salad,orange & cilantro vinaigrette | mizuna | fresh avocado,the-painted-burro-somerville,12,3,1
13,heirloom squash & apple enchilladas,roasted blue hubbard | kuri & pumpkin | macomber turnip | garlicky swiss chard | apple & poblano mole | tres quesos,the-painted-burro-somerville,17,5,1
14,pork carnitas y dos salsas enchilladas,ed wine & cola mole | tomatillo & cilantro bechamela | tres quesos,the-painted-burro-somerville,19,2,1
15,duck carnitas enchillas,zucchini | tres quesos | refried black beans | yellow mole,the-painted-burro-somerville,20,5,1
16,roasted achiote chicken enchilladas,smoked chile & roasted tomato salsa | tres quesos | cherry tomato salad,the-painted-burro-somerville,18,5,1
17,street cart chicken,1/2 roaster | achiote-citrus marinade | kale & fried plantain | creamy poblano rice | tamarind butter,the-painted-burro-somerville,18,5,1
18,grilled swordfish,coconut & cilantro rice | jumbo lump crab | mango & papaya salad,the-painted-burro-somerville,22,4,1
19,short rib barbacoa,roasted autumn carrots | charred onions | kale | creamy oaxacan grits | red wine mole | cotija,the-painted-burro-somerville,24,3,1
20,grilled pork chop,sweet corn polenta | rainbow chard | roasted peach & serrano salsa,the-painted-burro-somerville,19,5,1
21,pork barbacoa torta,cider braised pork | guajillo mole | tres queso | roasted apples | mizuna,the-painted-burro-somerville,13,5,1
22,chicken milanesa torta,crisp chicken breast | oaxaca cheese | guacamole | red onion | pico de gallo | roasted garlic mayo,the-painted-burro-somerville,13,2,1
23,blackened fish torta,spice rubbed striped bass | radish & cilantro salad | serrano & pickled jalape‹±o mayo,the-painted-burro-somerville,14,1,1
24,carnitas cubano torta,pork carnitas | sliced ham | swiss cheese | jicama & apple slaw | cilantro | ‰ÛÏsalsa mil islas‰Ûù,the-painted-burro-somerville,13,5,1
25,street-style hot dog torta,all-beef pearl dog | cabbage & jalape‹±o slaw | chicharron | chipotle ketchup | agave mustard | grilled roll,the-painted-burro-somerville,9,4,1
26,chorizo nachos,guacamole | pork charro beans | cabbage & jalape‹±o slaw | pimpin‰Ûª jalape‹±os | tres quesos | baja cream | chipotle mayo,the-painted-burro-somerville,14,3,1
27,oaxaca cheese grits,,the-painted-burro-somerville,3,2,1
28,kale & plantain,,the-painted-burro-somerville,7,5,1
30,pork charro beans,,the-painted-burro-somerville,2,5,1
31,creamy poblano rice,,the-painted-burro-somerville,4,5,1
32,egg rolls (2),,roses-chinese-restaurant-medford,3.85,5,1
33,scallion pie,,roses-chinese-restaurant-medford,4.55,4,1
34,crab rangoon (10),,roses-chinese-restaurant-medford,6.25,3,1
35,shao mai (6),a steamed dumpling stuffed w. pork | shrimp & vegetable,roses-chinese-restaurant-medford,,5,1
36,szechuan wonton,w. peanut buttery sauce,roses-chinese-restaurant-medford,5.55,5,1
37,steamed vegetarian dumplings (6),,roses-chinese-restaurant-medford,6.55,2,1
38,peking ravioli (6),pan fried or steamed,roses-chinese-restaurant-medford,6.55,1,1
39,fried chicken wings (7),,roses-chinese-restaurant-medford,7.95,5,1
40,chicken teriyaki (6),,roses-chinese-restaurant-medford,7.25,4,1
41,beef teriyaki,,roses-chinese-restaurant-medford,7.95,3,1
42,boneless spare ribs,,roses-chinese-restaurant-medford,7.95,2,1
43,shrimp toast (8),,roses-chinese-restaurant-medford,6.25,5,1
44,house dumplings (10),,roses-chinese-restaurant-medford,6.75,2,1
45,hot & sour soup,,roses-chinese-restaurant-medford,3.65,5,1
46,wonton soup,,roses-chinese-restaurant-medford,3.65,5,1
47,egg drop soup,,roses-chinese-restaurant-medford,3.65,5,1
48,three delight soup,shredded chicken | pork | beef with assorted vegetables,roses-chinese-restaurant-medford,7.25,4,1
49,general gau's chicken,crispy chicken chunks in a spicy orange flavored sauce,roses-chinese-restaurant-medford,9.25,3,1
50,szechuan style fish fillet,with ground pork in a spicy brown sauce,roses-chinese-restaurant-medford,10.25,5,1
51,orange sesame chicken,,roses-chinese-restaurant-medford,9.55,5,1
52,sweet & sour chicken,,roses-chinese-restaurant-medford,8.85,2,1
53,chicken with cashew nuts,,roses-chinese-restaurant-medford,8.85,1,1
54,chicken with broccoli,,roses-chinese-restaurant-medford,8.85,5,1
55,moo goo gai pan,,roses-chinese-restaurant-medford,8.85,4,1
56,sauteed chicken with vegetables,,roses-chinese-restaurant-medford,8.85,3,1
57,chicken with garlic sauce,,roses-chinese-restaurant-medford,8.85,2,1
58,kung pao chicken,,roses-chinese-restaurant-medford,8.85,5,1
59,chicken with chinese eggplant,,roses-chinese-restaurant-medford,8.85,2,1
60,peking duck (whole),tender duck marinated in a special sauce & expertly roasted. the duck is then deponed & the meat is served separately from the skin. accompanied w. steamed buns (or pancakes) | scallion brushes & hoisin sauce,roses-chinese-restaurant-medford,31.75,5,1
61,orange sesame beef,,roses-chinese-restaurant-medford,10.25,5,1
62,beef with pea pods,,roses-chinese-restaurant-medford,9.85,5,1
63,beef with mushrooms,,roses-chinese-restaurant-medford,9.85,4,1
64,beef with broccoli,,roses-chinese-restaurant-medford,9.85,3,1
